taken_on,vendor,buy_bullion,sell_bullion,buy_ring,sell_ring
2026-04-14T03:29:03.336795,SJC,170500000,173000000,170200000,172700000
2026-04-14T03:29:02.809881,DOJI,170000000,173000000,170000000,173000000
2026-04-14T03:28:57.974400,PNJ,169700000,172700000,169700000,172700000
2026-04-14T03:29:13.673403,BTMC,169700000,172700000,169700000,172700000
2026-04-14T03:29:00.249951,BTMH,169700000,172700000,169700000,172700000
2026-04-14T03:29:02.479793,PQG,169700000,172700000,169700000,172700000
2026-04-14T03:28:58.497140,MHG,171000000,172500000,171000000,172500000
2026-04-14T03:28:58.834809,NTH,157000000,161000000,157000000,161000000
2026-04-14T11:41:43.395131,SJC,170500000,173000000,170200000,172700000
2026-04-14T11:41:47.135925,DOJI,170500000,173000000,170000000,173000000
2026-04-14T11:41:37.795890,PNJ,169700000,172700000,169700000,172700000
2026-04-14T11:41:59.417239,BTMC,169700000,172700000,169700000,172700000
2026-04-14T11:41:42.006647,BTMH,169700000,172700000,169700000,172700000
2026-04-14T11:41:43.521309,PQG,169700000,172700000,169700000,172700000
2026-04-14T11:41:39.085894,MHG,170700000,172200000,170700000,172200000
2026-04-14T11:41:38.597369,NTH,157500000,161500000,157500000,161500000
2026-04-14T21:23:55.845965,SJC,170500000,173000000,170200000,172700000
2026-04-14T21:23:59.838479,DOJI,170500000,173000000,170000000,173000000
2026-04-14T21:23:55.518802,PNJ,169700000,172700000,169700000,172700000
2026-04-14T21:24:14.539910,BTMC,169700000,172700000,169700000,172700000
2026-04-14T21:23:58.256556,BTMH,169700000,172700000,169700000,172700000
2026-04-14T21:23:56.143676,PQG,169700000,172700000,169700000,172700000
2026-04-14T21:23:56.147078,MHG,170700000,172200000,170700000,172200000
2026-04-14T21:23:56.398367,NTH,157500000,161500000,157500000,161500000
2026-04-15T03:12:54.835763,SJC,171500000,174500000,171200000,174200000
2026-04-15T03:12:49.719056,DOJI,172000000,175000000,172000000,175000000
2026-04-15T03:12:49.694258,PNJ,171700000,174700000,171700000,174700000
2026-04-15T03:14:47.119110,BTMC,171000000,174000000,171000000,174000000
2026-04-15T03:12:52.692467,BTMH,172000000,175000000,172000000,175000000
2026-04-15T03:12:54.192432,PQG,171000000,174000000,171000000,174000000
2026-04-15T03:12:49.025207,MHG,171500000,173500000,171500000,173500000
2026-04-15T03:12:50.430567,NTH,158000000,162000000,158000000,162000000
2026-04-15T17:30:46.168275,SJC,170000000,173500000,169700000,173200000
2026-04-15T17:30:46.210826,DOJI,169800000,172800000,169800000,172800000
2026-04-15T17:30:40.839905,PNJ,170000000,173000000,170000000,173000000
2026-04-15T17:30:42.444069,BTMC,170000000,173000000,170000000,173000000
2026-04-15T17:30:43.069475,BTMH,170000000,173000000,170000000,173000000
2026-04-15T17:30:45.919669,PQG,170000000,173000000,170000000,173000000
2026-04-15T17:30:40.380592,MHG,170000000,171700000,170000000,171700000
2026-04-15T17:30:41.734777,NTH,157500000,161500000,157500000,161500000
2026-04-15T21:24:49.953651,SJC,170000000,173500000,169700000,173200000
2026-04-15T21:24:50.547235,DOJI,169800000,172800000,169800000,172800000
2026-04-15T21:24:44.212867,PNJ,170000000,173000000,170000000,173000000
2026-04-15T21:24:46.150314,BTMC,170000000,173000000,170000000,173000000
2026-04-15T21:24:47.804076,BTMH,170000000,173000000,170000000,173000000
2026-04-15T21:24:54.313456,PQG,170000000,173000000,170000000,173000000
2026-04-15T21:24:44.864480,MHG,170000000,171700000,170000000,171700000
2026-04-15T21:24:45.016819,NTH,157500000,161500000,157500000,161500000
